date,url,title,authors,keywords,text
2016-08-23 23:13:10+00:00,http://www.reuters.com/article/china-logistics-ecommerce-idINKCN10Y2F3,"As China e-commerce booms, private equity sees room for growth in storage space",[u'Elzio Barreto'],"[u'logistics', u'billion', u'sees', u'room', u'estate', u'space', u'warehouses', u'million', u'storage', u'private', u'investment', u'growth', u'china', u'equity', u'real', u'ecommerce', u'booms']","A sign of China's e-commerce company JD.com is seen at CES (Consumer Electronics Show) Asia 2016 in Shanghai, China, May 12, 2016. REUTERS/Aly Song/File Photo

HONG KONG When U.S. private equity heavyweight Warburg Pincus [WP.UL] started looking at China's logistics sector in late 2009, there were more modern warehouses in Boston than in the whole of the world's most populous country.

But as Chinese consumers embarked on an online shopping spree, demand has soared from appliance makers, express delivery firms and e-commerce companies such as Alibaba Group Holding Ltd and JD.com Inc, far outpacing supply and prompting a parallel binge in investment in warehouses and logistics businesses.

Deep-pocket investors including Carlyle Group LP, Canada Pension Plan Investment Board (CPPIB) and Warburg Pincus have splashed $12 billion on the sector in China since 2013, says real estate consultancy Jones Lang LaSalle.

""The thinking was even if it didn't necessarily scale to the size we were anticipating, we had a good sense that while Boston is a pretty decent size city in the U.S., China should have far more modern warehousing space over the longer term,"" said Jeffrey Perlman, who heads Southeast Asia at Warburg Pincus and also focuses on real estate investments across Asia Pacific.

""We were taking that directional bet that, with this transformative shift from a manufacturing-based economy to a service-, consumption-based economy, ultimately you need to store the goods somewhere.""

Although China's economy expanded in the second quarter at the slowest pace since the global financial crisis of 2008-09, online shopping revenues have soared and are expected to double to 7.5 trillion yuan ($1.13 trillion) in 2018 from last year, consumer and internet consultancy iResearch estimates.

Online retail as a percentage of total retail in China has grown steadily to 12.6 percent, and is forecast to reach 17 percent in 2018, according to iResearch and China's National Statistics Bureau.

By comparison, U.S. e-commerce sales accounted for 8.1 percent of total sales in the second quarter of 2016, underscoring the fast adoption of online shopping in China, where consumers with rising incomes use smartphones to order everything from appliances and clothes to flowers and pizza.

India, another emerging Asian giant with a burgeoning middle class, has seen a similar trend and is also attracting investment in warehouses.

""These changes are structural changes,"" said Jimmy Phua, head of real estate Asia at CPPIB. ""Certainly competition has been increasing. What we know, what we see is no secret, the world sees it as well. Other investors, other managers, can see that in this sector there will be sustained growth.""

RENTS PRESSURED

China's logistics market reached 1 trillion yuan in 2015, led by an increase in so-called storage spending that includes warehousing, processing and packaging of goods.

CPPIB has committed $2.6 billion to China's logistics market, including a $1 billion investment unveiled late in 2015 in a venture with Goodman Group.

Warburg Pincus-backed e-Shang has grown into one of the largest logistics providers for e-commerce companies including JD.com, with Thomson Reuters publication IFR saying the company could raise $1 billion in a 2016 initial public offering (IPO).

To be sure, the surge in investments has created an oversupply of warehouses and pressured rents, particularly in smaller cities, while increased competition from new players has made it harder to secure land in top-tier cities such as Beijing and Shanghai, analysts and investors said.

Still, investors expect the impact on rents will be less severe for large, more modern warehouses that have been the focus of private equity firms, while the oversupply of logistics space will likely be limited to lower-tier cities.

Real estate consultant DTZ Cushman & Wakefield forecasts warehousing space will grow 10 percent a year through 2020.

""E-commerce particularly is growing at rates that are significantly higher than the overall GDP growth, that's a huge demand driver for the logistics sector,"" said Jason Lee, Carlyle Group LP's head of Asia real estate.

Carlyle-backed China Logistics Property Holdings Co Ltd, which just went public in Hong Kong in a $459 million IPO in July, is spending 2.1 billion yuan in 2016 to add some 1.1 million square meters (11.8 million square feet) of new warehousing space to its portfolio this year and build new warehouses that will be completed in 2017.

With planned investments of $1.8 billion through 2019, the company expects to build 34 new logistics parks, adding 4.5 million square meters of space, according to its IPO prospectus.

Hong Kong-based real estate private equity firm Gaw Capital Partners, which joined last year with logistics company Vailog China to develop and buy warehouses, is raising a second investment vehicle after making a $300 million push last year.

The second vehicle, with co-investments from sovereign wealth funds and pension funds, will close in the next 3-6 months and will be at least the same size, said Kenny Gaw, president and managing principal at Gaw Capital.

""I can't predict how the growth of e-commerce will be in the next 10 years, but it's still one of the fastest growing sectors in China,"" Gaw said. ""And China will remain the biggest e-commerce market in the world.""

($1 = 6.6255 Chinese yuan renminbi)

(Additional reporting by Clare Jim; Editing by Alex Richardson)"
2016-08-23 23:13:10+00:00,http://www.reuters.com/article/china-logistics-ecommerce-idINKCN10Y2F3?il=0,"As China e-commerce booms, private equity sees room for growth in storage space",[u'Elzio Barreto'],"[u'logistics', u'billion', u'sees', u'room', u'estate', u'space', u'warehouses', u'million', u'storage', u'private', u'investment', u'growth', u'china', u'equity', u'real', u'ecommerce', u'booms']","A sign of China's e-commerce company JD.com is seen at CES (Consumer Electronics Show) Asia 2016 in Shanghai, China, May 12, 2016. REUTERS/Aly Song/File Photo

HONG KONG When U.S. private equity heavyweight Warburg Pincus [WP.UL] started looking at China's logistics sector in late 2009, there were more modern warehouses in Boston than in the whole of the world's most populous country.

But as Chinese consumers embarked on an online shopping spree, demand has soared from appliance makers, express delivery firms and e-commerce companies such as Alibaba Group Holding Ltd and JD.com Inc, far outpacing supply and prompting a parallel binge in investment in warehouses and logistics businesses.

Deep-pocket investors including Carlyle Group LP, Canada Pension Plan Investment Board (CPPIB) and Warburg Pincus have splashed $12 billion on the sector in China since 2013, says real estate consultancy Jones Lang LaSalle.

""The thinking was even if it didn't necessarily scale to the size we were anticipating, we had a good sense that while Boston is a pretty decent size city in the U.S., China should have far more modern warehousing space over the longer term,"" said Jeffrey Perlman, who heads Southeast Asia at Warburg Pincus and also focuses on real estate investments across Asia Pacific.

""We were taking that directional bet that, with this transformative shift from a manufacturing-based economy to a service-, consumption-based economy, ultimately you need to store the goods somewhere.""

Although China's economy expanded in the second quarter at the slowest pace since the global financial crisis of 2008-09, online shopping revenues have soared and are expected to double to 7.5 trillion yuan ($1.13 trillion) in 2018 from last year, consumer and internet consultancy iResearch estimates.

Online retail as a percentage of total retail in China has grown steadily to 12.6 percent, and is forecast to reach 17 percent in 2018, according to iResearch and China's National Statistics Bureau.

By comparison, U.S. e-commerce sales accounted for 8.1 percent of total sales in the second quarter of 2016, underscoring the fast adoption of online shopping in China, where consumers with rising incomes use smartphones to order everything from appliances and clothes to flowers and pizza.

India, another emerging Asian giant with a burgeoning middle class, has seen a similar trend and is also attracting investment in warehouses.

""These changes are structural changes,"" said Jimmy Phua, head of real estate Asia at CPPIB. ""Certainly competition has been increasing. What we know, what we see is no secret, the world sees it as well. Other investors, other managers, can see that in this sector there will be sustained growth.""

RENTS PRESSURED

China's logistics market reached 1 trillion yuan in 2015, led by an increase in so-called storage spending that includes warehousing, processing and packaging of goods.

CPPIB has committed $2.6 billion to China's logistics market, including a $1 billion investment unveiled late in 2015 in a venture with Goodman Group.

Warburg Pincus-backed e-Shang has grown into one of the largest logistics providers for e-commerce companies including JD.com, with Thomson Reuters publication IFR saying the company could raise $1 billion in a 2016 initial public offering (IPO).

To be sure, the surge in investments has created an oversupply of warehouses and pressured rents, particularly in smaller cities, while increased competition from new players has made it harder to secure land in top-tier cities such as Beijing and Shanghai, analysts and investors said.

Still, investors expect the impact on rents will be less severe for large, more modern warehouses that have been the focus of private equity firms, while the oversupply of logistics space will likely be limited to lower-tier cities.

Real estate consultant DTZ Cushman & Wakefield forecasts warehousing space will grow 10 percent a year through 2020.

""E-commerce particularly is growing at rates that are significantly higher than the overall GDP growth, that's a huge demand driver for the logistics sector,"" said Jason Lee, Carlyle Group LP's head of Asia real estate.

Carlyle-backed China Logistics Property Holdings Co Ltd, which just went public in Hong Kong in a $459 million IPO in July, is spending 2.1 billion yuan in 2016 to add some 1.1 million square meters (11.8 million square feet) of new warehousing space to its portfolio this year and build new warehouses that will be completed in 2017.

With planned investments of $1.8 billion through 2019, the company expects to build 34 new logistics parks, adding 4.5 million square meters of space, according to its IPO prospectus.

Hong Kong-based real estate private equity firm Gaw Capital Partners, which joined last year with logistics company Vailog China to develop and buy warehouses, is raising a second investment vehicle after making a $300 million push last year.

The second vehicle, with co-investments from sovereign wealth funds and pension funds, will close in the next 3-6 months and will be at least the same size, said Kenny Gaw, president and managing principal at Gaw Capital.

""I can't predict how the growth of e-commerce will be in the next 10 years, but it's still one of the fastest growing sectors in China,"" Gaw said. ""And China will remain the biggest e-commerce market in the world.""

($1 = 6.6255 Chinese yuan renminbi)

(Additional reporting by Clare Jim; Editing by Alex Richardson)"
2016-08-23 18:20:39+00:00,http://www.reuters.com/article/businessNews/idMXL1N1B415M,S&P baja perspectiva crediticia de México a negativa,[u'Reuters Editorial'],"[u'vehicles', u'judge', u'negativa', u'bid', u'sp', u'motors', u'toss', u'perspectiva', u'switch', u'ignition', u'mxico', u'baja', u'york', u'throw', u'texas', u'crediticia']","Judge denies GM's mid-trial bid to toss Texas ignition switch case

NEW YORK General Motors Co said Tuesday a Texas judge had denied its bid to throw out a lawsuit over a fatal 2011 crash blamed on a faulty ignition switch, after the company accused a car driver and his lawyers of fabricating evidence about the vehicle’s key."
2016-08-23 23:14:38+00:00,http://www.reuters.com/article/topNews/idMXL1N1B41VX,Triángulo Norte de Centroamérica crea fuerza para enfrentar pandillas y narcos,[u'Reuters Editorial'],"[u'pandillas', u'enfrentar', u'trump', u'para', u'foundation', u'tringulo', u'norte', u'support', u'republicans', u'centroamrica', u'fuerza', u'clinton', u'rallying', u'narcos', u'rival', u'y', u'crea', u'struggling', u'republican', u'seeks']","In attacking Clinton foundation, Trump seeks a Republican rallying cry

WASHINGTON After struggling to find a consistent message and consolidate party support, Donald Trump is honing his attack on Democratic presidential rival Hillary Clinton and the foundation bearing her family's name in hopes of making it a rallying cry for fellow Republicans."
None,http://www.reuters.com/news/oddlyEnough ,"Weird News, Odd News, Funny News Stories",[u'Reuters Editorial'],"[u'taxi', u'funny', u'couple', u'tanzania', u'rocks', u'sarajevo', u'way', u'wedding', u'suspension', u'weird', u'odd', u'niro', u'film']","Recent Oddly Enough News

Thousands of Bolivian Catholics break rocks to change fortunes Every year, on the third week of August, thousands of Bolivian Catholics gather on the outskirts of capital La Paz to take a swing at fortune by breaking rocks. |

Want a drive with De Niro? Hail a Sarajevo taxi SARAJEVO Hundreds of Sarajevo taxi drivers have stuck posters of Robert De Niro on their cabs in tribute to the actor who will open the city's film festival on Friday with a screening of ""Taxi Driver"". Film, Entertainment

Chilli-powder condoms, firecrackers boost Tanzania elephant protection Conservationists in Tanzania are using an unorthodox way of keeping elephants from wandering into human settlements - by throwing condoms filled with chilli powder at them. | Environment

Chinese couple dangle from suspension bridge for wedding A Chinese couple marked their wedding day in their own special way -- by dangling underneath a glass bottom suspension bridge overlooking a gorge. |"
2016-08-23 23:13:10+00:00,http://www.reuters.com/article/us-china-logistics-ecommerce-idUKKCN10Y2FF?il=0,"As China e-commerce booms, private equity sees room for growth in storage space",[u'Elzio Barreto'],"[u'logistics', u'billion', u'sees', u'room', u'estate', u'space', u'warehouses', u'million', u'storage', u'private', u'investment', u'growth', u'china', u'equity', u'real', u'ecommerce', u'booms']","A sign of China's e-commerce company JD.com is seen at CES (Consumer Electronics Show) Asia 2016 in Shanghai, China, May 12, 2016. REUTERS/Aly Song/File Photo

HONG KONG When U.S. private equity heavyweight Warburg Pincus [WP.UL] started looking at China's logistics sector in late 2009, there were more modern warehouses in Boston than in the whole of the world's most populous country.

But as Chinese consumers embarked on an online shopping spree, demand has soared from appliance makers, express delivery firms and e-commerce companies such as Alibaba Group Holding Ltd and JD.com Inc, far outpacing supply and prompting a parallel binge in investment in warehouses and logistics businesses.

Deep-pocket investors including Carlyle Group LP, Canada Pension Plan Investment Board (CPPIB) and Warburg Pincus have splashed $12 billion on the sector in China since 2013, says real estate consultancy Jones Lang LaSalle.

""The thinking was even if it didn't necessarily scale to the size we were anticipating, we had a good sense that while Boston is a pretty decent size city in the U.S., China should have far more modern warehousing space over the longer term,"" said Jeffrey Perlman, who heads Southeast Asia at Warburg Pincus and also focuses on real estate investments across Asia Pacific.

""We were taking that directional bet that, with this transformative shift from a manufacturing-based economy to a service-, consumption-based economy, ultimately you need to store the goods somewhere.""

Although China's economy expanded in the second quarter at the slowest pace since the global financial crisis of 2008-09, online shopping revenues have soared and are expected to double to 7.5 trillion yuan ($1.13 trillion) in 2018 from last year, consumer and internet consultancy iResearch estimates.

Online retail as a percentage of total retail in China has grown steadily to 12.6 percent, and is forecast to reach 17 percent in 2018, according to iResearch and China's National Statistics Bureau.

By comparison, U.S. e-commerce sales accounted for 8.1 percent of total sales in the second quarter of 2016, underscoring the fast adoption of online shopping in China, where consumers with rising incomes use smartphones to order everything from appliances and clothes to flowers and pizza.

India, another emerging Asian giant with a burgeoning middle class, has seen a similar trend and is also attracting investment in warehouses.

""These changes are structural changes,"" said Jimmy Phua, head of real estate Asia at CPPIB. ""Certainly competition has been increasing. What we know, what we see is no secret, the world sees it as well. Other investors, other managers, can see that in this sector there will be sustained growth.""

RENTS PRESSURED

China's logistics market reached 1 trillion yuan in 2015, led by an increase in so-called storage spending that includes warehousing, processing and packaging of goods.

CPPIB has committed $2.6 billion to China's logistics market, including a $1 billion investment unveiled late in 2015 in a venture with Goodman Group.

Warburg Pincus-backed e-Shang has grown into one of the largest logistics providers for e-commerce companies including JD.com, with Thomson Reuters publication IFR saying the company could raise $1 billion in a 2016 initial public offering (IPO).

To be sure, the surge in investments has created an oversupply of warehouses and pressured rents, particularly in smaller cities, while increased competition from new players has made it harder to secure land in top-tier cities such as Beijing and Shanghai, analysts and investors said.

Still, investors expect the impact on rents will be less severe for large, more modern warehouses that have been the focus of private equity firms, while the oversupply of logistics space will likely be limited to lower-tier cities.

Real estate consultant DTZ Cushman & Wakefield forecasts warehousing space will grow 10 percent a year through 2020.

""E-commerce particularly is growing at rates that are significantly higher than the overall GDP growth, that's a huge demand driver for the logistics sector,"" said Jason Lee, Carlyle Group LP's head of Asia real estate.

Carlyle-backed China Logistics Property Holdings Co Ltd, which just went public in Hong Kong in a $459 million IPO in July, is spending 2.1 billion yuan in 2016 to add some 1.1 million square meters (11.8 million square feet) of new warehousing space to its portfolio this year and build new warehouses that will be completed in 2017.

With planned investments of $1.8 billion through 2019, the company expects to build 34 new logistics parks, adding 4.5 million square meters of space, according to its IPO prospectus.

Hong Kong-based real estate private equity firm Gaw Capital Partners, which joined last year with logistics company Vailog China to develop and buy warehouses, is raising a second investment vehicle after making a $300 million push last year.

The second vehicle, with co-investments from sovereign wealth funds and pension funds, will close in the next 3-6 months and will be at least the same size, said Kenny Gaw, president and managing principal at Gaw Capital.

""I can't predict how the growth of e-commerce will be in the next 10 years, but it's still one of the fastest growing sectors in China,"" Gaw said. ""And China will remain the biggest e-commerce market in the world.""

($1 = 6.6255 Chinese yuan renminbi)

(Additional reporting by Clare Jim; Editing by Alex Richardson)"
2016-08-23 23:19:11+00:00,http://www.reuters.com/article/us-california-stanford-alcohol-idUSKCN10Y2G2,Stanford University tightens campus alcohol restrictions,[u'Steve Gorman'],"[u'restrictions', u'alcohol', u'stanford', u'students', u'university', u'hard', u'policy', u'tightens', u'liquor', u'parties', u'letter', u'turner', u'campus']","LOS ANGELES Stanford University has tightened campus drinking restrictions, banning large liquor bottles from undergraduate student housing and barring hard alcohol from being served altogether at parties for undergrads.

The new policy, issued on Monday in a letter to new and returning students, follows a public furor surrounding the sexual assault of an unconscious, intoxicated woman by Stanford swimmer Brock Turner outside a frat party in 2015.

Outrage over the six-month jail term Turner received in June, widely condemned as too lenient, and the victim's account of the assault and its repercussions on her life has helped galvanize concern about rape on U.S. college campuses and the role played by alcohol abuse.

It also brought a torrent of unfavorable attention to Silicon-Valley-based Stanford, which ranks as one of the nation's most prestigious private research institutions.

Stanford insisted on Tuesday that the new policy was part of long-evolving tighter alcohol restrictions that had nothing to do with Turner.

University officials pointed to a letter to students in March calling for new solutions to the ""serious issue"" of on-campus drinking, particularly hard alcohol. The letter cited U.S. government data that more than 1,800 college students die each year from alcohol-related incidents and nearly 100,000 fall victim to sexual violence associated with alcohol.

""It does not emanate from the Brock Turner case,"" university spokeswoman Lisa Lapin said on Tuesday. ""Having said that, do we want to make sure that cases like Brock Turner don't happen again? Absolutely.""

The new policy prohibits any liquor bottles of 750 ml or larger in any housing for its nearly 7,0000 undergraduates - even students at or above California's legal drinking age of 21. Smaller containers of hard alcohol, defined as 20 percent alcohol by volume, are still allowed.

Also newly banned is consumption of hard liquor by undergrads at all campus parties, regardless of container size or students' age.

The policy exempts graduate housing and parties hosted by campus groups consisting entirely of grad students.

The new rules drew criticism from some quarters, including Stanford law professor and sociologist Michele Landis Dauber, who called the restrictions misguided.

Dauber, who is leading a petition drive seeking to recall the judge who sentenced Turner, said rather than curb liquor consumption the policy would ""change the place where it's consumed"" by students.

""They're going to pound as much hard alcohol as they possibly can in a short time period before the party,"" she said.

(By Steve Gorman)"
2016-08-23 23:08:31+00:00,http://www.reuters.com/article/uk-northkorea-missiles-flight-idUKKCN10Y2EJ,North Korea submarine-launched missile fell inside Japanese sea zone - Yonhap,[u'Reuters Editorial'],"[u'weeks', u'seven', u'korea', u'north', u'office', u'zone', u'inside', u'japanese', u'war', u'missile', u'violent', u'fell', u'1900', u'sea', u'yonhap', u'rodrigo', u'president', u'submarinelaunched', u'philippines', u'killed']","Over 1,900 killed in 'chilling' Philippines war on drugs

MANILA More than 1,900 people, or about 36 per day, have been killed in a violent campaign against drugs in the Philippines since President Rodrigo Duterte came to office seven weeks ago, the country's national police chief said on Tuesday."
2016-08-23 21:54:37+00:00,http://www.reuters.com/article/uk-northkorea-missiles-idUKKCN10Y2BC?il=0,North Korea test-fires submarine-launched ballistic missile - South Korea,[u'Reuters Editorial'],"[u'testfires', u'korea', u'north', u'war', u'office', u'philippines', u'seven', u'submarinelaunched', u'violent', u'ballistic', u'1900', u'president', u'rodrigo', u'weeks', u'missile', u'killed', u'south']","Over 1,900 killed in 'chilling' Philippines war on drugs

MANILA More than 1,900 people, or about 36 per day, have been killed in a violent campaign against drugs in the Philippines since President Rodrigo Duterte came to office seven weeks ago, the country's national police chief said on Tuesday."
2016-08-23 23:16:54+00:00,http://www.reuters.com/article/uk-northkorea-missiles-usa-idUKKCN10Y2G4,U.S. tracked North Korean submarine-launched missile - defence official,[u'Reuters Editorial'],"[u'weeks', u'seven', u'defence', u'north', u'tracked', u'office', u'philippines', u'official', u'war', u'submarinelaunched', u'violent', u'president', u'rodrigo', u'korean', u'missile', u'killed', u'1900']","Over 1,900 killed in 'chilling' Philippines war on drugs

MANILA More than 1,900 people, or about 36 per day, have been killed in a violent campaign against drugs in the Philippines since President Rodrigo Duterte came to office seven weeks ago, the country's national police chief said on Tuesday."
